indicator,country_name,unit,FINAL_CODE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Household and NPISH final consumption expenditure,Italy,"Chain linked volumes, index 2010=100",ITA_PCR_ESTAT,95.553,96.221,96.224,96.907,97.83,99.103,100.414,101.552,100.47,98.993,100,100.19,96.561,94.375,94.647,96.386,97.135,98.321,98.822,98.802,88.343,93.493,98.419,98.97,99.519,NA
Household and NPISH final consumption expenditure,Cyprus,"Chain linked volumes, index 2010=100",CYP_PCR_ESTAT,65.373,68.997,71.124,74.225,79.564,82.675,85.913,94.288,102.032,95.374,100,99.109,96.361,89.612,89.575,92.378,97.124,101.818,107.939,112.801,105.909,110.895,122.549,129.985,135.176,NA
Household and NPISH final consumption expenditure,Latvia,"Chain linked volumes, index 2010=100",LVA_PCR_ESTAT,65.391,68.765,73.543,79.379,87.615,97.696,117.185,131.037,118.954,96.38,100,100.634,106.575,113.717,114.736,116.841,121.404,124.811,129.32,129.172,122.997,132.901,139.633,138.368,138.494,NA
Household and NPISH final consumption expenditure,Lithuania,"Chain linked volumes, index 2010=100",LTU_PCR_ESTAT,65.106,67.825,71.918,80.085,88.796,99.142,108.242,121.789,126.525,104.53,100,103.931,107.032,110.932,115.428,120.256,124.809,128.686,133.256,137.012,132.652,143.345,145.999,145.819,150.37,NA
Household and NPISH final consumption expenditure,Luxembourg,"Chain linked volumes, index 2010=100",LUX_PCR_ESTAT,77.358,79.923,84.049,86.092,87.114,86.681,90.253,92.396,94.595,96.788,100,101.651,104.123,104.922,108.087,111.379,115.119,118.545,122.171,124.863,115.281,128.447,136.925,142.131,146.717,NA
Household and NPISH final consumption expenditure,Hungary,"Chain linked volumes, index 2010=100",HUN_PCR_ESTAT,83.624,87.524,94.062,101.718,103.705,106.774,109.112,110.169,108.749,101.574,100,100.578,98.809,99.105,101.576,105.533,110.645,116.731,122.605,128.959,129.173,135.927,145.973,142.644,150.645,NA
Household and NPISH final consumption expenditure,Malta,"Chain linked volumes, index 2010=100",MLT_PCR_ESTAT,82.792,84.184,82.876,87.701,89.504,92.582,95.246,97.917,99.152,97.619,100,103.785,104.801,108.482,111.915,115.707,119.004,126.898,139.874,147.795,132.531,146.72,160.803,181.335,192.455,NA
Household and NPISH final consumption expenditure,Netherlands,"Chain linked volumes, index 2010=100",NLD_PCR_ESTAT,94.651,96.668,97.845,97.744,98.488,99.36,99.191,101.022,101.864,99.862,100,100.435,99.62,98.995,99.651,101.858,103.212,105.533,108.039,109.166,102.471,107.038,114.464,115.306,116.61,118.228
Household and NPISH final consumption expenditure,Austria,"Chain linked volumes, index 2010=100",AUT_PCR_ESTAT,86.338,87.697,88.06,90.057,91.915,93.921,95.75,96.905,97.908,98.751,100,101.129,101.791,101.484,101.498,102.658,104.522,106.485,107.387,108.123,99.932,104.846,110.473,110.22,111.302,NA
Household and NPISH final consumption expenditure,Poland,"Chain linked volumes, index 2010=100",POL_PCR_ESTAT,69.75,71.137,73.767,74.839,77.817,79.088,82.94,87.28,93.394,96.202,100,102.791,103.636,103.324,106.604,110.78,114.963,121.935,127.855,132.003,127.733,135.652,142.641,142.282,146.55,NA
Household and NPISH final consumption expenditure,Portugal,"Chain linked volumes, index 2010=100",PRT_PCR_ESTAT,89.478,90.254,91.424,91.131,93.446,94.933,96.361,98.75,100.145,97.774,100,96.309,91.154,90.098,92.203,93.834,96.048,97.757,100.259,103.729,96.718,101.452,107.109,109.693,112.96,NA
Household and NPISH final consumption expenditure,Romania,"Chain linked volumes, index 2010=100",ROU_PCR_ESTAT,50.864,55.105,59.014,63.96,74.091,82.408,90.82,103.391,112.388,105.25,100,104.491,106.462,101.192,105.303,111.525,118.265,131.949,144.307,148.829,143.437,153.44,161.787,165.87,175.338,NA
Household and NPISH final consumption expenditure,Slovenia,"Chain linked volumes, index 2010=100",SVN_PCR_ESTAT,76.604,78.337,79.912,82.972,85.307,87.115,88.344,94.368,96.921,98.98,100,100.547,98.096,94.365,95.435,97.732,101.732,104.284,107.835,113.765,106.769,118.792,123.468,123.445,128.156,NA
Household and NPISH final consumption expenditure,Slovakia,"Chain linked volumes, index 2010=100",SVK_PCR_ESTAT,64.12,67.446,71.319,71.704,76.577,80.256,85.432,92.218,98.705,98.721,100,98.257,98.819,97.251,99.672,102.864,106.605,112.946,117.604,120.905,121.405,125.13,131.295,127.461,131.933,NA
Household and NPISH final consumption expenditure,Finland,"Chain linked volumes, index 2010=100",FIN_PCR_ESTAT,78.319,80.422,82.436,85.841,89.064,91.892,95.497,98.843,100.789,97.844,100,102.892,103.295,102.792,103.341,104.744,106.68,107.156,108.379,108.826,105.098,108.462,109.395,109.115,108.913,NA
Household and NPISH final consumption expenditure,Sweden,"Chain linked volumes, index 2010=100",SWE_PCR_ESTAT,79.798,80.44,82.228,83.527,85.906,88.621,91.143,95.176,95.166,96.177,100,101.853,103.004,104.887,107.922,112.435,114.862,117.737,119.959,120.902,117.277,123.907,127.349,125.3,126.086,NA
Household and NPISH final consumption expenditure,Iceland,"Chain linked volumes, index 2010=100",ISL_PCR_ESTAT,90.367,87.847,87.21,92.389,98.993,110.54,114.759,122.446,114.273,100.154,100,102.168,104.229,105.164,107.906,111.437,117.322,125.677,130.388,131.53,128.3,138.749,149.203,150.068,151.45,NA
Household and NPISH final consumption expenditure,Liechtenstein,"Chain linked volumes, index 2010=100",LIE_PCR_ESTAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Household and NPISH final consumption expenditure,Norway,"Chain linked volumes, index 2010=100",NOR_PCR_ESTAT,71.654,73.132,75.426,77.834,82.075,85.689,89.939,94.712,96.301,96.33,100,102.365,105.95,108.929,111.185,114.198,115.481,118.066,119.758,120.983,113.457,119.24,128.584,126.999,128.807,NA
Household and NPISH final consumption expenditure,Switzerland,"Chain linked volumes, index 2010=100",CHE_PCR_ESTAT,85.93,87.889,87.999,88.382,90.104,91.78,93.287,95.151,96.621,98,100,101.512,103.89,106.369,107.33,109.877,111.323,112.944,113.037,114.639,110.327,112.726,118.215,119.878,122.738,NA
Household and NPISH final consumption expenditure,United Kingdom,"Chain linked volumes, index 2010=100",GBR_PCR_ESTAT,83.936,86.926,89.791,92.784,95.739,98.109,99.689,102.028,101.637,98.859,100,99.899,101.614,104.29,106.729,109.942,113.681,114.97,116.611,117.894,NA,NA,NA,NA,NA,NA
Household and NPISH final consumption expenditure,Bosnia & Herzegovina,"Chain linked volumes, index 2010=100",BIH_PCR_ESTAT,71.204,74.371,78.416,81.647,86.923,90.567,93.183,97.856,102.736,99.771,100,100.281,99.801,99.9,101.522,102.775,103.881,105.512,107.546,109.359,106.213,110.703,115.33,119.367,124.657,NA
Household and NPISH final consumption expenditure,Montenegro,"Chain linked volumes, index 2010=100",MNE_PCR_ESTAT,NA,NA,NA,NA,NA,NA,90.933,101.921,113.3,96.824,100,100.629,97.648,99.374,102.366,103.14,110.647,115.049,118.616,123.53,117.809,124.233,140.955,150.975,166.601,NA
Household and NPISH final consumption expenditure,North Macedonia,"Chain linked volumes, index 2010=100",MKD_PCR_ESTAT,71.616,64.382,70.78,73.959,79.5,85.204,88.375,95.102,99.655,96.362,100,94.641,95.775,97.558,99.691,104.108,108.146,110.403,114.472,118.754,114.527,124.359,131.206,133.374,136.224,NA
Household and NPISH final consumption expenditure,Albania,"Chain linked volumes, index 2010=100",ALB_PCR_ESTAT,52.108,54.682,58.898,64.885,68.003,72.811,77.795,88.92,98.978,99.657,100,101.854,102.406,103.166,107.482,109.322,113.737,114.116,117.462,121.257,114.464,119.668,126.859,130.34,135.138,NA
Household and NPISH final consumption expenditure,Serbia,"Chain linked volumes, index 2010=100",SRB_PCR_ESTAT,62.685,65.29,71.253,73.14,82.432,84.402,93.173,100.714,104.682,100.611,100,100.247,98.048,96.304,96.057,95.716,97.535,99.632,102.433,106.195,104.016,112.04,115.933,116.506,122.548,NA
Household and NPISH final consumption expenditure,Turkey,"Chain linked volumes, index 2010=100",TUR_PCR_ESTAT,71.769,65.646,69.414,74.858,82.332,86.707,89.651,94.156,94.159,90.701,100,112.012,114.48,122.34,126.381,133.972,139.041,147.368,148.54,150.56,156.04,180.4,209.556,231.509,241.517,NA
Household and NPISH final consumption expenditure,Ukraine,"Chain linked volumes, index 2010=100",UKR_PCR_ESTAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,115.574,124.942,133.554,122.813,98.764,101.411,110.869,121.201,134.456,136.691,145.931,105.797,110.379,NA,NA
Gross fixed capital formation,Belgium,"Chain linked volumes, index 2010=100",BEL_ITR_ESTAT,86.205,87.607,83.988,83.878,91.451,96.699,98.541,105.717,107.733,100.106,100,105.44,106.211,103.885,109.851,113.281,118.142,119.598,123.192,128.65,122.093,127.392,130.531,134.553,137.274,NA
Gross fixed capital formation,Bulgaria,"Chain linked volumes, index 2010=100",BGR_ITR_ESTAT,44.904,53.81,58.187,65.666,74.719,94.695,106.958,120.922,147.484,121.42,100,95.597,97.338,97.868,101.272,103.962,97.073,100.209,105.624,110.408,111.065,101.814,108.424,119.471,121.251,NA
Gross fixed capital formation,Czechia,"Chain linked volumes, index 2010=100",CZE_ITR_ESTAT,75.624,79.796,81.033,82.789,85.757,90.425,95.128,107.81,109.348,99.141,100,100.807,96.865,95.44,98.141,106.818,104.648,107.657,117.281,126.066,120.025,128.126,136.211,141.947,138.118,NA
Gross fixed capital formation,Denmark,"Chain linked volumes, index 2010=100",DNK_ITR_ESTAT,101.207,100.884,98.465,100.339,103.929,110.262,125.23,126.103,123.096,106.76,100,101.023,104.793,106.694,112.113,116.609,125.913,131.479,136.771,135.664,141.499,159.553,162.353,156.211,160.951,NA
Gross fixed capital formation,Germany,"Chain linked volumes, index 2010=100",DEU_ITR_ESTAT,102.369,99.695,93.639,92.125,91.709,92.527,99.499,103.101,104.725,94.603,100,107.448,107.216,105.983,109.792,111.722,115.958,119.023,123.321,125.824,122.1,123.053,122.918,120.403,116.386,115.861
Gross fixed capital formation,Estonia,"Chain linked volumes, index 2010=100",EST_ITR_ESTAT,69.098,78.093,96.503,113.618,119.877,138.369,169.863,187.372,162.815,102.254,100,135.603,151.798,154.065,149.95,145.208,152.629,173.755,192.04,203.873,240.402,248.027,212.295,217.231,203.097,NA
Gross fixed capital formation,Ireland,"Chain linked volumes, index 2010=100",IRL_ITR_ESTAT,96.597,102.221,107.9,116.505,127.874,149.405,160.179,160.228,141.671,117.689,100,99.955,116.25,111.394,132.706,206.479,288.896,299.655,272.428,543.982,454.392,273.088,280.662,318.165,227.598,NA
Gross fixed capital formation,Greece,"Chain linked volumes, index 2010=100",GRC_ITR_ESTAT,112.216,116.627,113.75,127.122,136.801,120.361,142.863,159.878,148.189,128.536,100,74.751,60.669,54.989,53.761,53.859,55.242,59.476,56.759,56.29,57.232,69.631,85.029,90.583,94.621,NA
Gross fixed capital formation,Spain,"Chain linked volumes, index 2010=100",ESP_ITR_ESTAT,92.078,95.934,99.852,106.42,111.279,119.042,127.684,132.785,127.211,105.422,100,92.655,86.046,83.023,86.65,91.266,93.121,99.408,105.858,111.035,101.122,103.787,108.195,114.583,118.667,126.118
Gross fixed capital formation,France,"Chain linked volumes, index 2010=100",FRA_ITR_ESTAT,88.028,89.855,88.997,91.096,94.378,97.178,101.429,106.968,108.259,98.268,100,102.101,101.844,101.287,100.885,101.51,104.31,108.168,111.956,116.558,109.763,120.448,119.991,120.468,119.168,NA
Gross fixed capital formation,Croatia,"Chain linked volumes, index 2010=100",HRV_ITR_ESTAT,70.772,74.171,81.933,100.41,104.753,109.887,119.939,126.184,137.968,116.688,100,96.1,91.292,91.289,88.493,96.619,101.195,102.572,107.13,120.889,113.309,118.811,131.471,161.314,169.935,NA
Gross fixed capital formation,Italy,"Chain linked volumes, index 2010=100",ITA_ITR_ESTAT,101.879,104.34,108.113,107.154,108.932,110.757,113.647,115.457,111.634,100.042,100,98.469,88.779,82.805,81.016,82.596,85.773,88.569,91.474,92.919,86.316,104.911,112.634,123.974,124.552,NA
Gross fixed capital formation,Cyprus,"Chain linked volumes, index 2010=100",CYP_ITR_ESTAT,65.187,65.197,72.632,74.025,78.312,83.384,100.784,108.37,117.498,101.48,100,88.279,71.054,59.863,55.446,54.474,81.421,98.724,93.492,99.921,105.868,107.86,121.319,139.946,136.853,NA
Gross fixed capital formation,Latvia,"Chain linked volumes, index 2010=100",LVA_ITR_ESTAT,79.422,93.832,91.57,104.679,133.247,161.792,188.429,230.773,203.698,122.136,100,126.538,151.797,143.006,137.726,133.59,125.147,138.869,154.897,156.974,153.149,163.5,164.065,172.201,160.119,NA
Gross fixed capital formation,Lithuania,"Chain linked volumes, index 2010=100",LTU_ITR_ESTAT,62.28,70.21,77.993,88.958,103.017,114.835,137.335,168.008,161.293,98.546,100,121.364,119.099,128.873,136.102,141.934,146.672,159.675,174.985,186.146,189.307,213.246,222.729,247.907,243.782,NA
Gross fixed capital formation,Luxembourg,"Chain linked volumes, index 2010=100",LUX_ITR_ESTAT,80.074,85.449,85.816,87.617,93.187,88.831,92.587,103.928,115.341,99.408,100,117.45,119.491,120.373,130.64,119.902,123.22,129.804,120.408,136.438,130.846,149.892,129.093,122.564,119.203,NA
Gross fixed capital formation,Hungary,"Chain linked volumes, index 2010=100",HUN_ITR_ESTAT,91.111,93.572,100.761,101.925,110.013,113.99,114.832,120.12,121.542,110.456,100,98.699,95.748,105.336,118.395,124.132,111.269,133.206,155.088,174.857,161.565,171.149,170.401,158.901,143.153,NA
Gross fixed capital formation,Malta,"Chain linked volumes, index 2010=100",MLT_ITR_ESTAT,77.186,69.572,58.343,76.217,75.729,84.798,80.203,90.428,88.673,86.574,100,87.214,100.706,93.933,98.574,153.877,145.463,144.131,155.985,170.786,164.25,203.351,232.544,195.528,203.898,NA
Gross fixed capital formation,Netherlands,"Chain linked volumes, index 2010=100",NLD_ITR_ESTAT,100.377,101.648,97.548,95.842,95.91,99.076,105.943,121.486,117.927,107.839,100,105.49,98.894,97.346,94.993,122.621,111.486,118.223,121.91,130.877,127.55,130.66,135.117,137.119,136.508,137.223
Gross fixed capital formation,Austria,"Chain linked volumes, index 2010=100",AUT_ITR_ESTAT,101.198,100.179,96.998,100.805,101.963,102.36,103.725,108.397,110.316,102.535,100,106.446,107.804,109.141,108.787,111.02,116.054,120.894,126.23,131.603,124.595,132.039,131.7,129.954,124.419,NA
Gross fixed capital formation,Poland,"Chain linked volumes, index 2010=100",POL_ITR_ESTAT,73.067,65.433,61.413,62.089,66.976,72.254,83.62,98.976,107.379,104.885,100,110.954,108.269,108.308,121.321,129.56,120.03,122.174,138.904,149.366,144.862,147.002,149.554,168.502,167.064,NA
Gross fixed capital formation,Portugal,"Chain linked volumes, index 2010=100",PRT_ITR_ESTAT,117.405,118.547,114.526,106.15,106.35,106.468,105.662,108.923,109.384,101.138,100,87.457,72.865,69.459,70.995,75.261,77.28,86.208,91.52,96.575,94.313,101.66,105.052,111.369,116.091,NA
Gross fixed capital formation,Romania,"Chain linked volumes, index 2010=100",ROU_ITR_ESTAT,43.244,47.804,51.298,56.56,61.993,69.138,87.491,132.109,155.686,102.846,100,109.198,112.258,106.302,112.37,119.622,116.726,123.362,121.098,139.18,138.523,144.112,151.954,170.642,166.31,NA
Gross fixed capital formation,Slovenia,"Chain linked volumes, index 2010=100",SVN_ITR_ESTAT,96.191,98.119,97.76,103.419,109.153,113.096,124.687,139.558,149.393,116.413,100,94.935,87.033,90.207,91.04,90.476,87.806,96.124,106.292,111.532,103.52,115.851,121.321,127.989,127.665,NA
Gross fixed capital formation,Slovakia,"Chain linked volumes, index 2010=100",SVK_ITR_ESTAT,71.254,80.256,79.892,76.414,80.785,94.111,100.628,110.776,114.549,92.416,100,113.173,101.689,103.086,105.968,127.771,115.989,116.055,120.003,126.008,113.857,119.616,124.81,129.787,131.927,NA
Gross fixed capital formation,Finland,"Chain linked volumes, index 2010=100",FIN_ITR_ESTAT,88.034,89.587,86.942,89.373,93.538,96.579,97.89,107.97,108.655,95.584,100,102.596,101.864,97.521,95.322,95.485,104.265,109.469,114.279,113.092,111.811,113.842,115.598,107.359,101.994,NA
Gross fixed capital formation,Sweden,"Chain linked volumes, index 2010=100",SWE_ITR_ESTAT,80.314,82.316,81.611,82.541,86.961,89.713,98.763,107.097,107.602,94.331,100,105.655,104.626,104.591,110.426,118.065,123.896,128.977,130.623,130.736,132.955,141.947,142.231,142.42,142.683,NA
Gross fixed capital formation,Iceland,"Chain linked volumes, index 2010=100",ISL_ITR_ESTAT,152.733,146.833,128.65,140.553,177.581,231.286,286.369,254.838,207.8,109.184,100,110.93,116.675,118.899,138.696,168.12,198.719,220.114,226.209,215.327,201.175,228.411,263.431,279.747,298.602,NA
Gross fixed capital formation,Liechtenstein,"Chain linked volumes, index 2010=100",LIE_ITR_ESTAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gross fixed capital formation,Norway,"Chain linked volumes, index 2010=100",NOR_ITR_ESTAT,75.683,75.219,74.953,75.319,82.962,92.822,101.237,113.641,114.925,106.862,100,107.451,115.556,122.875,122.566,117.658,122.298,125.52,128.312,140.519,134.754,135.688,136.088,133.981,132.149,NA
Gross fixed capital formation,Switzerland,"Chain linked volumes, index 2010=100",CHE_ITR_ESTAT,85.984,84.965,85.948,85.359,90.139,93.131,97.484,102.598,103.201,96.287,100,102.191,106.276,107.711,110.534,113.281,116.715,121.513,123.184,124.175,123.436,127.832,129.104,131.966,132.578,NA
Gross fixed capital formation,United Kingdom,"Chain linked volumes, index 2010=100",GBR_ITR_ESTAT,93.984,95.438,97.924,100.55,101.961,106.323,109.725,114.072,109.059,96.081,100,98.974,100.861,104.61,111.897,117.853,123.095,126.498,126.985,128.932,NA,NA,NA,NA,NA,NA
Gross fixed capital formation,Bosnia & Herzegovina,"Chain linked volumes, index 2010=100",BIH_ITR_ESTAT,69.306,69.068,75.332,77.069,80.624,97.627,88.145,116.528,136.065,112.85,100,105.568,106.269,104.927,117.645,114.816,122.006,130.833,140.573,148.431,146.579,148.379,151.22,170.936,188.434,NA
Gross fixed capital formation,Montenegro,"Chain linked volumes, index 2010=100",MNE_ITR_ESTAT,NA,NA,NA,NA,NA,NA,75.703,128.462,168.667,119.705,100,93.172,91.151,98.846,97.716,109.309,149.242,176.68,203.39,199.121,175.743,153.242,154.674,172.181,189.658,NA
Gross fixed capital formation,North Macedonia,"Chain linked volumes, index 2010=100",MKD_ITR_ESTAT,67.869,74.467,74.391,71.061,76.655,68.764,73.355,86.159,101.472,104.194,100,113.29,120.6,124.775,129.772,143.355,157.502,148.593,139.079,151.169,151.772,157.488,163.311,172.522,181.09,NA
Gross fixed capital formation,Albania,"Chain linked volumes, index 2010=100",ALB_ITR_ESTAT,56.77,69.653,73.315,79.492,89.194,95.246,100.76,104.733,108.72,109.759,100,106.823,97.418,95.749,94.739,96.874,100.634,108.268,110.873,108.425,107.47,128.488,130.554,132.8,140.522,NA
Gross fixed capital formation,Serbia,"Chain linked volumes, index 2010=100",SRB_ITR_ESTAT,41.831,43.87,56.924,69.173,82.19,86.621,101.106,127.725,136.767,106.594,100,104.463,118.965,104.596,100.893,106.38,112.257,120.826,141.1,164.922,162.689,186.558,190.623,209.131,225.231,NA
Gross fixed capital formation,Turkey,"Chain linked volumes, index 2010=100",TUR_ITR_ESTAT,52.995,38.556,45.896,55.078,72.789,87.203,100.787,106.78,103.743,83.558,100,123.643,127.87,146.652,151.768,165.031,170.176,182.87,184.357,162.049,173.266,185.771,193.939,208.165,213.721,NA
Gross fixed capital formation,Ukraine,"Chain linked volumes, index 2010=100",UKR_ITR_ESTAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,108.506,113.908,104.379,79.35,72.054,86.783,100.725,117.435,131.208,103.198,112.834,74.635,123.849,NA,NA
Exports of goods and services,Belgium,"Chain linked volumes, index 2010=100",BEL_XTR_ESTAT,76.108,76.397,79.032,80.308,85.282,89.982,95.112,100.282,102.095,90.551,100,104.821,104.119,104.411,109.966,114.001,121.006,127.681,129.654,133.461,125.51,143.899,148.29,137.685,135.345,NA
Exports of goods and services,Bulgaria,"Chain linked volumes, index 2010=100",BGR_XTR_ESTAT,48.513,49.103,53.452,56.907,70.853,77.291,83.214,99.543,102.009,90.058,100,112.554,114.847,125.909,129.752,138.159,150.058,158.676,161.427,167.877,151.746,169.31,189.738,189.739,193.106,NA
Exports of goods and services,Czechia,"Chain linked volumes, index 2010=100",CZE_XTR_ESTAT,39.726,43.473,43.869,47.739,61.907,73.143,83.592,92.812,96.721,87.216,100,109.163,113.836,114.13,124.09,131.426,136.863,146.584,151.717,153.707,140.617,152.082,159.913,163.667,166.164,NA
Exports of goods and services,Denmark,"Chain linked volumes, index 2010=100",DNK_XTR_ESTAT,75.932,78.482,81.898,80.908,83.356,89.968,99.265,102.876,106.857,97.063,100,107.447,108.8,110.312,113.642,117.316,121.611,127.456,131.795,137.616,128.864,138.834,147.977,159.493,170.833,NA
Exports of goods and services,Germany,"Chain linked volumes, index 2010=100",DEU_XTR_ESTAT,62.905,66.349,69.012,70.148,77.953,83.071,92.989,100.941,102.504,87.639,100,107.903,110.7,111.225,116.05,121.705,124.124,128.912,132.21,134.946,122.145,134.579,139.819,137.84,134.995,134.64
Exports of goods and services,Estonia,"Chain linked volumes, index 2010=100",EST_XTR_ESTAT,47.908,50.942,52.378,57.707,67.685,81.17,88.905,100.121,101.02,80.504,100,124.173,130.166,133.811,137.344,135.276,141.804,148.656,152.961,160.662,154.047,190.381,200.784,182.43,179.692,NA
Exports of goods and services,Ireland,"Chain linked volumes, index 2010=100",IRL_XTR_ESTAT,60.53,69.01,73.479,72.231,76.941,81.157,86.068,93.729,90.164,94.356,100,103.109,102.261,113.067,129.455,180.495,190.072,211.014,221.236,245.629,278.929,315.584,353.535,339.658,368.758,NA
Exports of goods and services,Greece,"Chain linked volumes, index 2010=100",GRC_XTR_ESTAT,86.544,87.563,81.161,80.938,94,96.133,101.351,110.579,115.581,95.623,100,100.552,102.603,104.404,113.047,118.964,118.494,128.453,140.314,147.106,115.452,143.59,152.482,155.773,157.282,NA
Exports of goods and services,Spain,"Chain linked volumes, index 2010=100",ESP_XTR_ESTAT,79.462,82.597,83.783,86.716,90.429,92.09,96.402,103.791,102.865,91.761,100,108.206,109.229,113.914,119.047,124.228,130.927,138.268,140.565,143.748,114.856,130.233,148.756,151.984,156.779,162.033
Exports of goods and services,France,"Chain linked volumes, index 2010=100",FRA_XTR_ESTAT,82.999,85.399,87.168,85.975,90.571,94.416,99.459,102.292,102.892,92.129,100,106.527,109.34,112.185,115.263,120.479,123.023,128.444,133.283,136.053,113.507,126.362,137.84,141.245,144.812,NA
Exports of goods and services,Croatia,"Chain linked volumes, index 2010=100",HRV_XTR_ESTAT,70.401,77.296,81.046,86.419,92.785,97.052,104.765,109.957,107.593,92.755,100,102.271,100.733,103.355,110.874,122.228,130.844,139.936,144.979,154.9,118.971,157.925,200.582,197.691,200.785,NA
Exports of goods and services,Italy,"Chain linked volumes, index 2010=100",ITA_XTR_ESTAT,90.913,93.337,90.681,89.56,95.072,98.151,106.184,112.797,109.098,89.644,100,104.933,106.856,107.121,109.843,114.22,116.891,123.165,125.788,127.33,109.874,125.35,137.725,137.445,137.509,NA
Exports of goods and services,Cyprus,"Chain linked volumes, index 2010=100",CYP_XTR_ESTAT,90.727,92.325,89.093,86.51,89.271,92.031,94.15,99.2,98.639,94.048,100,107.016,106.401,107.595,114.365,124.571,133.565,148.234,158.936,172.803,175.63,223.324,284.711,280.074,297.102,NA
Exports of goods and services,Latvia,"Chain linked volumes, index 2010=100",LVA_XTR_ESTAT,48.236,52.42,55.003,57.265,65.219,80.661,86.672,98.738,101.115,88.016,100,112.461,123.128,123.94,132.071,136.106,141.404,150.532,157.1,156.204,155.739,169.9,189.303,176.011,176.2,NA
Exports of goods and services,Lithuania,"Chain linked volumes, index 2010=100",LTU_XTR_ESTAT,36.646,45.468,54.648,59.606,63.922,76.606,86.417,89.176,99.537,85.924,100,114.547,126.972,136.203,133.72,136.96,143.709,163.154,174.314,191.818,191.948,223.783,249.978,241.661,247.94,NA
Exports of goods and services,Luxembourg,"Chain linked volumes, index 2010=100",LUX_XTR_ESTAT,65.389,69.585,69.517,71.452,78.048,82.712,93.401,98.191,97.869,90.78,100,104.388,106.078,112.778,120.127,126.301,133.006,132.704,137.386,145.682,148.453,165.29,167.72,168.648,148.108,NA
Exports of goods and services,Hungary,"Chain linked volumes, index 2010=100",HUN_XTR_ESTAT,41.885,45.548,48.127,51.109,60.336,68.049,81.338,94.469,100.797,89.995,100,106.414,104.603,108.87,118.888,127.642,132.495,141.08,148.121,156.204,146.605,158.686,175.65,206.243,204.429,NA
Exports of goods and services,Malta,"Chain linked volumes, index 2010=100",MLT_XTR_ESTAT,75.285,66.085,71.528,67.531,67.853,69.005,84.97,90.926,96.558,84.988,100,109.061,117.27,120.041,127.354,157.97,170.715,198.017,224.136,240.258,249.357,260.658,290.983,305.957,324.894,NA
Exports of goods and services,Netherlands,"Chain linked volumes, index 2010=100",NLD_XTR_ESTAT,73.152,74.215,74.613,75.96,82.186,86.871,93.148,98.212,99.854,91.175,100,105.686,109.612,112.92,118.734,128.673,131.2,140.289,147.194,151.252,145.457,155.434,162.296,157.441,157.195,161.286
Exports of goods and services,Austria,"Chain linked volumes, index 2010=100",AUT_XTR_ESTAT,67.928,71.848,74.928,75.326,81.85,87.306,93.92,101.031,103.224,88.393,100,105.935,107.458,108.138,111.226,114.592,118.022,123.804,130.181,135.435,121.229,132.756,145.295,144.381,141.072,NA
Exports of goods and services,Poland,"Chain linked volumes, index 2010=100",POL_XTR_ESTAT,48.979,50.475,52.911,60.361,63.207,69.566,80.185,88.345,94.523,88.818,100,107.745,111.969,117.635,124.102,132.303,144.157,157.263,167.89,176.851,174.949,196.473,211.024,218.867,223.245,NA
Exports of goods and services,Portugal,"Chain linked volumes, index 2010=100",PRT_XTR_ESTAT,74.092,75.811,78.327,82.212,85.173,85.408,96.057,102.279,101.849,91.594,100,106.883,110.184,118.183,123.27,130.977,137.148,148.655,155.043,161.251,131.686,147.534,172.841,180.286,185.898,NA
Exports of goods and services,Romania,"Chain linked volumes, index 2010=100",ROU_XTR_ESTAT,32.946,37.644,44.176,47.861,54.63,59.658,66.681,80.617,91.702,86.49,100,112.112,113.301,136.793,148.469,155.274,180.645,194.672,204.916,215.898,195.472,220.174,240.666,237.422,231.497,NA
Exports of goods and services,Slovenia,"Chain linked volumes, index 2010=100",SVN_XTR_ESTAT,53.471,57.311,61.771,63.723,72.035,80.221,91.55,104.236,108.597,90.643,100,106.69,107.487,110.492,116.934,123.284,131.212,145.738,154.708,161.64,147.851,168.73,181.279,177.812,181.966,NA
Exports of goods and services,Slovakia,"Chain linked volumes, index 2010=100",SVK_XTR_ESTAT,35.916,39.877,42.83,51.277,62.111,69.953,85.919,98.337,101.295,84.719,100,110.09,120.229,126.699,130.882,139.719,146.569,151.907,160.226,162.399,152.078,168.291,172.951,171.787,171.826,NA
Exports of goods and services,Finland,"Chain linked volumes, index 2010=100",FIN_XTR_ESTAT,75.809,77.191,80.266,79.456,86.402,92.407,101.475,110.594,117.895,94.182,100,102.027,102.268,103.457,101.603,101.851,106.116,115.695,117.678,125.736,115.047,121.93,127.335,125.602,127.81,NA
